EVENT_ID,PLAYER_ID,EARNINGS,ORIG_EARNINGS,CURRENCY,PLACEMENT
1,11922,28,12500,12500.00000000,USD,1
2,11922,18,6250,6250.00000000,USD,2
3,11922,22,3750,3750.00000000,USD,3
4,11922,106,2500,2500.00000000,USD,4
5,11921,3,12500,12500.00000000,USD,1
6,11921,4,6250,6250.00000000,USD,2
7,11921,22,3750,3750.00000000,USD,3
8,11921,14,2500,2500.00000000,USD,4
9,11921,36,500,500.00000000,USD,5
10,11921,168,500,500.00000000,USD,6
11,11921,23,500,500.00000000,USD,7
12,11921,10,500,500.00000000,USD,8
5162,1915,11,37701,250000.00000000,SEK,1
5163,1915,6,15080,100000.00000000,SEK,2
5164,1915,78,7540,50000.00000000,SEK,3
5165,1915,26,7540,50000.00000000,SEK,4
5166,1915,58,3770,25000.00000000,SEK,5
5167,1915,111,3770,25000.00000000,SEK,6
5153,1850,645,3039,20000.00000000,SEK,4
5152,1850,58,3039,20000.00000000,SEK,3
5151,1850,72,6079,40000.00000000,SEK,2
5150,1850,26,10637,70000.00000000,SEK,1
5149,1801,38,3046,20000.00000000,SEK,4
5148,1801,146,3046,20000.00000000,SEK,3
5147,1801,34,6093,40000.00000000,SEK,2
5146,1801,6,10663,70000.00000000,SEK,1
5145,1682,10,3565,25000.00000000,SEK,4
5144,1682,53,3565,25000.00000000,SEK,3
5143,1682,152,7129,50000.00000000,SEK,2
5142,1682,58,14258,100000.00000000,SEK,1
5141,1658,30,2988,20000.00000000,SEK,4
5140,1658,208,2988,20000.00000000,SEK,3
5139,1658,19,5975,40000.00000000,SEK,2
5138,1658,139,10457,70000.00000000,SEK,1
5124,2051,36,15904,100000.00000000,SEK,1
5128,2035,65,2023,13000.00000000,SEK,4
5127,2035,12,3890,25000.00000000,SEK,3
5126,2035,70,7781,50000.00000000,SEK,2
5125,2035,129,15561,100000.00000000,SEK,1
5129,2031,4,15066,100000.00000000,SEK,1
5137,11930,4,1429,10000.00000000,SEK,8
5136,11930,192,1429,10000.00000000,SEK,7
5135,11930,26,1429,10000.00000000,SEK,6
5134,11930,159,1429,10000.00000000,SEK,5
5133,11930,140,5001,35000.00000000,SEK,4
5132,11930,208,5001,35000.00000000,SEK,3
5131,11930,126,12859,90000.00000000,SEK,2
5130,11930,11,28575,200000.00000000,SEK,1
5121,2056,192,14242,100000.00000000,SEK,1
5122,2056,58,4273,30000.00000000,SEK,2
57,11923,2,16000,16000.00000000,USD,1
58,11923,3,7000,7000.00000000,USD,2
59,11923,24,3000,3000.00000000,USD,3
60,11923,64,1500,1500.00000000,USD,4
61,11923,56,700,700.00000000,USD,5
62,11923,39,700,700.00000000,USD,6
63,11923,16,700,700.00000000,USD,7
64,11923,165,700,700.00000000,USD,8
65,11923,83,350,350.00000000,USD,9
66,11923,25,350,350.00000000,USD,10
67,11923,162,350,350.00000000,USD,11
68,11923,6,350,350.00000000,USD,12
69,11923,41,350,350.00000000,USD,13
70,11923,17,350,350.00000000,USD,14
71,11923,52,350,350.00000000,USD,15
72,11923,184,350,350.00000000,USD,16
73,11923,139,150,150.00000000,USD,17
74,11923,58,150,150.00000000,USD,18
75,11923,128,150,150.00000000,USD,19
76,11923,200,150,150.00000000,USD,20
77,11923,26,150,150.00000000,USD,21
78,11923,118,150,150.00000000,USD,22
79,11923,96,150,150.00000000,USD,23
80,11923,183,150,150.00000000,USD,24
81,11923,53,150,150.00000000,USD,25
82,11923,103,150,150.00000000,USD,26
83,11923,208,150,150.00000000,USD,27
84,11923,179,150,150.00000000,USD,28
85,11923,115,150,150.00000000,USD,29
86,11923,153,150,150.00000000,USD,30
87,11923,15,150,150.00000000,USD,31
88,11923,89,150,150.00000000,USD,32
89,1213,139,15000,15000.00000000,USD,1
90,1213,89,7000,7000.00000000,USD,2
91,1213,41,3000,3000.00000000,USD,3
92,1213,83,1500,1500.00000000,USD,4
93,1213,36,700,700.00000000,USD,5
94,1213,187,700,700.00000000,USD,6
95,1213,124,700,700.00000000,USD,7
96,1213,265,700,700.00000000,USD,8
97,1213,316,350,350.00000000,USD,9
98,1213,164,350,350.00000000,USD,10
99,1213,261,350,350.00000000,USD,11
100,1213,93,350,350.00000000,USD,12
101,1213,27,350,350.00000000,USD,13
102,1213,151,350,350.00000000,USD,14
103,1213,193,350,350.00000000,USD,15
104,1213,446,350,350.00000000,USD,16
105,1213,172,150,150.00000000,USD,17
106,1213,223,150,150.00000000,USD,18
107,1213,325,150,150.00000000,USD,19
108,1213,242,150,150.00000000,USD,20
109,1213,13,150,150.00000000,USD,21
110,1213,43,150,150.00000000,USD,22
111,1213,123,150,150.00000000,USD,23
112,1213,262,150,150.00000000,USD,24
113,1213,156,150,150.00000000,USD,25
114,1213,140,150,150.00000000,USD,26
115,1213,271,150,150.00000000,USD,27
116,1213,129,150,150.00000000,USD,28
117,1213,22,150,150.00000000,USD,29
118,1213,208,150,150.00000000,USD,30
119,1213,155,150,150.00000000,USD,31
120,1213,531,150,150.00000000,USD,32
121,5058,10,5000,5000.00000000,USD,1
122,5058,19,3000,3000.00000000,USD,2
123,5058,61,1500,1500.00000000,USD,3
124,5058,144,500,500.00000000,USD,4
125,5072,10,7500,7500.00000000,USD,1
126,5072,12,4000,4000.00000000,USD,2
127,5072,142,2500,2500.00000000,USD,3
128,5072,8,1000,1000.00000000,USD,4
5230,7777,26,1300,1300.00000000,USD,1
5231,7777,34,900,900.00000000,USD,2
5232,7777,149,600,600.00000000,USD,3
5236,5164,144,263,200.00000000,EUR,3
5235,5164,41,657,500.00000000,EUR,2
5234,5164,10,394,300.00000000,EUR,1
136,3409,50,1000,1000.00000000,USD,1
137,3409,10,500,500.00000000,USD,2
138,3409,41,300,300.00000000,USD,3
5253,11086,228,132,100.00000000,EUR,4
5252,11086,103,330,250.00000000,EUR,3
5251,11086,192,659,500.00000000,EUR,2
5250,11086,153,989,750.00000000,EUR,1
143,5235,139,4000,4000.00000000,USD,1
144,5235,103,2000,2000.00000000,USD,2
145,5235,41,1000,1000.00000000,USD,3
146,5235,123,1000,1000.00000000,USD,4
147,5235,140,700,700.00000000,USD,5
148,5235,50,700,700.00000000,USD,6
149,5235,208,300,300.00000000,USD,7
150,5235,58,300,300.00000000,USD,8
151,11932,6,13000,13000.00000000,USD,1
152,11932,36,6500,6500.00000000,USD,2
153,11932,34,4000,4000.00000000,USD,3
