id,name,shortname,scoreak,scorepl,founded,disbanded,active,homepage,lp_name,is_team,is_manual,meanrating
427,Passion Mercs,PM,0.222784810126582,0,2016-12-04,,t,"",Passion Mercs,t,t,-10
428,Vengeance Fishing Club,VFish,0.21126582278481,0,2018-07-26,,t,"",Vengeance Fishing Club,t,t,-10
358,Downfall Gaming,Downfall,0.10253164556962,0,,,t,"","",t,t,-10
418,Player 1,Player 1,0.797974683544304,0,2019-02-25,,t,"","",t,t,-10
317,Team WardiTV,WardiTV,0,0,,,t,"",Team_SC2Improve,t,t,-10
291,Team eLevate,eLevate,0,0,2016-01-02,,t,"","",t,t,-10
316,Infinite Edge Esports,INFED,0,0,,,t,"","",t,t,-10
159,Team Missing in Action,MiA,0,0,2011-01-01,,t,http://www.team-mia.org,Team_MiA,t,t,-10
410,Triumphant Song Gaming,TSGaming,0.896835443037975,0,2019-01-18,,t,"","",t,t,0.863617229259055
415,Afreeca S2,Afreeca,0.790632911392405,0,2018-11-01,,t,"",Afreeca_S2,t,t,-10
241,Starcraft Freaks Clan,SFC,0.060126582278481,0,2013-01-05,,t,"",Starcraft Freaks Clan,t,t,-10
382,CranKy Ducklings,CranKy,0.109620253164557,0,2015-02-01,,t,,User:(16thSq)_Kuro/CranKy,t,t,-10
294,nocturnal Gamers,nG,0.391392405063291,0,,,t,"","",t,t,-10
144,Team Ascension,Team .SCA,0,0,2010-01-01,2017-01-06,f,http://teamascension.co/,Team Ascension,t,t,-10
1,Afreeca Freecs,Freecs,0,0,2010-09-15,2016-11-21,f,http://startale.co.kr/,StarTale,t,t,1.09848843367044
284,Binary Evasion,BEV,0,0,2010-04-25,,f,"","",t,t,-10
158,Team sMi,sMi,0,0,2013-07-14,,f,http://www.smiteam.net/,Team sMi,t,t,-10
310,orKs eSports,orKs,0,0,,,f,http://www.orks.fr/,"",t,t,-10
63,vT Gaming,vT,0,0,,2011-07-08,f,,,t,t,
15,Woongjin Stars,Woongjin,0,0,,2013-12-13,f,http://www.wjstars.com/,Woongjin Stars,t,t,-10
125,4Kings,4Kings,0,0,2011-09-13,2013-01-31,f,http://www.four-kings.com/,4Kings,t,t,-10
177,causeWEcan e.V.,cause,0,0,,,f,http://www.cause-gaming.de/,"",t,t,-10
160,Wild 4 Sports,W4sp,0,0,2013-04-13,2013-08-18,f,http://www.w4sp.de/,W4sp,t,t,
142,Eternal E-Sports,ETL,0,0,2012-04-25,,f,http://www.eternal-esports.com/,"",t,t,-10
205,Team Spectre,Spec,0,0,2012-12-01,,f,http://www.teamspectre.eu/,Team Spectre,t,t,-10
179,Solarity,sR,0,0,2012-12-26,,f,"",User:AxS_SouL/AxS,t,t,-10
156,Vega Squadron,Vega,0,0,2012-06-10,,f,http://www.vegasquadron.com/,Vega Squadron,t,t,-10
421,Infinity Esports,inF,0.410886075949367,0,2019-03-22,,t,"","",t,t,-10
400,Charge Gaming,ICGI,0.261139240506329,0,,,t,"","",t,t,-10
