id,player_id,group_id,start,end,current,playing
3447,8991,210,,,f,t
4,490,1,2012-07-13,2013-07-07,f,t
7,371,1,2012-07-13,2013-03-26,f,t
104,1687,11,,,f,t
10,5,1,,2013-01-03,f,t
11,133,1,,2013-08-27,f,t
12,340,1,2012-07-13,2013-07-07,f,t
13,17,1,,2013-01-14,f,t
15,84,1,2012-07-13,2013-06-05,f,t
16,134,1,,,f,t
18,693,1,,2013-03-26,f,t
19,410,1,,2013-03-26,f,t
107,1697,11,,2014-02-20,f,t
21,207,2,,2013-03-26,f,t
9,3,1,2012-07-13,2015-02-11,f,t
99,264,10,,2015-04-29,f,t
24,40,2,,2013-03-26,f,t
36,2,3,,2015-07-20,f,t
3448,8991,254,,,f,t
28,517,2,,2013-03-26,f,t
29,21,2,,2013-05-22,f,t
30,297,2,,2013-03-26,f,t
35,269,3,2011-03-04,2013-03-31,f,t
39,157,3,,2013-02-17,f,t
40,1652,3,2012-08-21,2013-06-21,f,t
41,198,4,2011-07-18,2013-01-31,f,t
47,318,4,2011-07-18,2013-01-31,f,t
50,327,4,,2013-01-31,f,t
52,115,5,2012-07-15,2013-04-09,f,t
53,435,5,2012-03-03,2013-04-09,f,t
54,346,5,2012-03-03,2013-04-09,f,t
55,102,5,2012-03-03,2013-04-09,f,t
56,1058,5,2012-07-02,2013-04-09,f,t
57,172,5,2012-03-03,2013-04-09,f,t
58,667,6,2012-11-15,2013-08-07,f,t
59,583,6,2012-11-19,2013-07-11,f,t
60,910,6,2012-11-14,2013-07-11,f,t
61,593,6,2012-11-18,2013-03-05,f,t
65,205,7,,2013-03-26,f,t
68,195,7,,2011-07-26,f,t
69,30,7,,2013-07-31,f,t
70,91,7,,2013-07-07,f,t
74,203,8,,2013-07-31,f,t
75,29,8,,2013-07-31,f,t
76,138,8,,,f,f
77,505,8,,2013-07-31,f,t
78,458,8,,2013-07-31,f,t
79,1682,8,,2013-07-31,f,t
80,1680,8,,2013-07-31,f,t
89,1607,9,,2013-05-28,f,t
105,171,11,,2013-08-29,f,t
111,62,16,,2013-01-03,f,t
114,1352,12,,2013-07-26,f,t
115,197,12,,2013-09-09,f,t
120,597,12,,2013-09-16,f,t
124,1403,12,,,f,t
126,48,13,,2013-09-01,f,t
127,186,13,,2013-08-31,f,t
131,370,13,,2013-08-31,f,t
135,63,14,,2013-09-16,f,t
136,1663,14,,2013-08-18,f,t
