NICKNAME,NAME,BIRTHDATE,MC_NUMBER,TLPD_ID,TLPD_DB,LIQUIPEDIA_PAGE,SC2E_ID,COUNTRY,RACE,PP_SCORE,FOREIGN_KEY1,FOREIGN_KEY2,FOREIGN_KEY3,ROMANIZED_NAME
271,Jinro,Jonathan Walsh,1989-01-14,1,1314,3,,42,SE,T,-0.718929645489369,63,64,6694687,
279,Terminator,하재상,1992-05-03,1,2038,1,Sang,\N,KR,P,-0.707441113678419,31,32,6694695,Ha Jae Sang
655,FireCake,Sébastien Lebbe,1990-04-27,1,\N,0,\N,\N,FR,Z,-0.94441061401283,36,37,6695052,\N
292,Tarrantius,Patric Dann,\N,1,4135,2,Tarrantius,444,DE,P,-1.28795227960059,182,183,6694707,
8148,NightMare,장욱,\N,1,\N,0,\N,\N,KR,P,-1.22449671517228,67,68,6701449,Jang Wook
136,HongUn,안홍욱,1987-03-26,1,1901,3,\N,167,KR,P,-0.741610634554871,56,57,6694555,Ahn Hong Wook
1658,Zest,주성욱,1992-07-11,1,977,1,Wooki,\N,KR,P,0.078341992335286,84,87,6695937,Joo Sung Wook
86,Alicia,양준식,1987-08-01,1,2306,3,Alicia,185,KR,P,-1.0189859620357,186,187,6694505,Yang Joon Sik
250,Tarson,Tomasz Boroń,1986-04-11,1,1137,2,Tarson,106,PL,T,-0.767388368949488,92,93,6694667,\N
49,Maru,조성주,1997-07-28,1,1850,3,Maru,171,KR,T,8.86505145263542,165,241,6694468,Cho Seong Ju
309,Stats,김대엽,1992-05-15,1,611,1,Carno,\N,KR,P,0.185594195747201,129,135,6694724,Kim Dae Yeob
63,TY,전태양,1994-09-18,1,575,1,BaBy,539,KR,T,1.85636602411373,130,207,6694482,Jun Tae Yang
9,Sniper,권태훈,1995-01-22,1,2313,3,Sniper,356,KR,Z,-0.62115717887843,110,111,6694428,Kwon Tae Hoon
183,Bischu,Jesper Johansson,1990-01-18,1,1672,2,Bischu,90,SE,P,-0.706308070682497,118,119,6694601,\N
